ActivityDay,Id,Calories,Total_Active_Minutes
2016-05-08,2026352035,1555,258
2016-05-08,2320127002,1821,247
2016-05-08,2873212765,2096,372
2016-05-08,4020332650,3089,263
2016-05-08,4319703577,1792,153
2016-05-08,6117666160,2250,318
2016-05-08,6290855005,2712,251
2016-05-08,8378563200,2685,139
2016-05-08,8877689391,2847,266
2016-05-08,1503960366,1740,255
2016-05-08,5553957443,1762,221
2016-05-08,6962181067,1659,165
2016-05-08,8053475328,3589,367
2016-05-08,7086361926,2534,206
2016-05-08,4388161847,3934,323
2016-05-08,1844505072,1347,0
2016-05-08,1927972279,2063,0
2016-05-08,5577150313,1819,0
2016-05-08,8792009665,1688,0
2016-05-08,8583815059,2940,257
2016-05-08,4558609924,2666,339
2016-05-08,4445114986,2423,316
2016-05-09,2022484408,2709,379
2016-05-09,3977333714,1667,281
2016-05-09,7086361926,2960,288
2016-05-09,1624580081,1328,91
2016-05-09,2026352035,1869,401
2016-05-09,2320127002,1630,145
2016-05-09,2873212765,1906,345
2016-05-09,4445114986,2281,266
2016-05-09,6117666160,1248,197
2016-05-09,6290855005,2175,264
2016-05-09,8583815059,2947,180
2016-05-09,4020332650,2785,181
2016-05-09,1644430081,3008,341
2016-05-09,1503960366,1819,263
2016-05-09,5577150313,2489,115
2016-05-09,4702921684,2990,265
2016-05-09,8053475328,2765,226
2016-05-09,8378563200,3721,255
2016-05-09,4319703577,2345,390
2016-05-09,4388161847,3013,283
2016-05-09,8877689391,3710,309
2016-05-09,6962181067,2105,295
2016-05-09,5553957443,2272,332
2016-05-09,4558609924,2223,375
2016-05-09,1844505072,1347,0
2016-05-09,1927972279,2063,0
2016-05-09,8792009665,1688,0
2016-05-10,3977333714,1630,312
2016-05-10,4702921684,3172,300
2016-05-10,5577150313,3841,335
2016-05-10,8583815059,2846,214
2016-05-10,1624580081,1393,139
2016-05-10,2026352035,1141,17
2016-05-10,2320127002,1899,290
2016-05-10,2873212765,1962,373
2016-05-10,4020332650,2926,206
2016-05-10,4445114986,2181,231
2016-05-10,8053475328,2926,221
2016-05-10,8877689391,2832,253
2016-05-10,4319703577,2260,344
2016-05-10,8378563200,3586,228
2016-05-10,4388161847,3061,294
2016-05-10,4558609924,1889,249
2016-05-10,1644430081,2799,186
2016-05-10,7086361926,2800,201
2016-05-10,2022484408,2797,356
2016-05-10,1503960366,1859,291
2016-05-10,6962181067,2361,371
2016-05-10,5553957443,2335,366
2016-05-10,1844505072,1347,0
2016-05-10,1927972279,2063,0
2016-05-10,6290855005,0,0
2016-05-10,8792009665,57,0
2016-05-11,8583815059,2804,253
2016-05-11,1624580081,1359,112
2016-05-11,1644430081,1276,49
2016-05-11,2026352035,1698,330
2016-05-11,3977333714,52,13
2016-05-11,5553957443,1693,195
2016-05-11,6962181067,1855,230
2016-05-11,8053475328,2809,251
2016-05-11,4020332650,2645,144
2016-05-11,8378563200,3788,266
2016-05-11,8877689391,3832,313
2016-05-11,5577150313,1665,123
2016-05-11,4319703577,2232,332
2016-05-11,4388161847,2954,282
2016-05-11,4445114986,2499,288
2016-05-11,1503960366,1783,310
2016-05-11,2022484408,2544,307
2016-05-11,4558609924,2131,359
2016-05-11,7086361926,2735,225
2016-05-11,4702921684,3069,286
2016-05-11,1844505072,1347,0
2016-05-11,1927972279,2063,0
2016-05-11,2320127002,1903,300
2016-05-11,2873212765,1826,319
2016-05-12,1624580081,1002,107
2016-05-12,2026352035,1364,343
2016-05-12,2873212765,1431,268
2016-05-12,4020332650,1120,21
2016-05-12,4388161847,1623,108
2016-05-12,4445114986,1212,58
2016-05-12,4558609924,1452,247
2016-05-12,4702921684,1240,68
2016-05-12,8877689391,1849,161
2016-05-12,7086361926,1199,67
2016-05-12,5553957443,741,62
2016-05-12,8378563200,1976,116
2016-05-12,6962181067,928,113
2016-05-12,2022484408,1853,268
2016-05-12,1503960366,0,0
2016-05-12,1844505072,665,0
2016-05-12,1927972279,1383,0
2016-05-12,8583815059,0,0
2016-05-12,8053475328,1505,71
2016-05-12,2320127002,1125,128
2016-05-12,4319703577,257,2
